RANDOM_SEED, 1698992063
GEN,		MIN,			AVE,			MAX,
0,		-22.00,		-2.95,		14.00,
1,		-23.00,		-9.98,		-6.00,
2,		-25.00,		-17.84,		-12.00,
3,		-26.00,		-22.91,		-20.00,
4,		-27.00,		-25.02,		-24.00,
5,		-27.00,		-25.66,		-25.00,
6,		-27.00,		-26.42,		-26.00,
7,		-27.00,		-27.00,		-27.00,
8,		-27.00,		-27.00,		-27.00,
9,		-27.00,		-27.00,		-27.00,
10,		-27.00,		-27.00,		-27.00,
11,		-27.00,		-27.00,		-27.00,
12,		-27.00,		-27.00,		-27.00,
13,		-27.00,		-27.00,		-27.00,
14,		-27.00,		-27.00,		-27.00,
15,		-27.00,		-27.00,		-27.00,
16,		-27.00,		-27.00,		-27.00,
17,		-27.00,		-27.00,		-27.00,
18,		-27.00,		-27.00,		-27.00,
19,		-27.00,		-27.00,		-27.00,
20,		-27.00,		-27.00,		-27.00,
21,		-27.00,		-27.00,		-27.00,
22,		-27.00,		-27.00,		-27.00,
23,		-27.00,		-27.00,		-27.00,
24,		-27.00,		-27.00,		-27.00,
25,		-27.00,		-27.00,		-27.00,
26,		-27.00,		-27.00,		-27.00,
27,		-27.00,		-27.00,		-27.00,
28,		-27.00,		-27.00,		-27.00,
29,		-27.00,		-27.00,		-27.00,
30,		-27.00,		-27.00,		-27.00,
31,		-27.00,		-27.00,		-27.00,
32,		-27.00,		-27.00,		-27.00,
33,		-27.00,		-27.00,		-27.00,
34,		-27.00,		-27.00,		-27.00,
35,		-27.00,		-27.00,		-27.00,
36,		-27.00,		-27.00,		-27.00,
37,		-27.00,		-27.00,		-27.00,
38,		-27.00,		-27.00,		-27.00,
39,		-27.00,		-27.00,		-27.00,
40,		-27.00,		-27.00,		-27.00,
41,		-27.00,		-27.00,		-27.00,
42,		-27.00,		-27.00,		-27.00,
43,		-27.00,		-27.00,		-27.00,
44,		-27.00,		-27.00,		-27.00,
45,		-27.00,		-27.00,		-27.00,
46,		-27.00,		-27.00,		-27.00,
47,		-27.00,		-27.00,		-27.00,
