RANDOM_SEED, 1698993197
GEN,		MIN,			AVE,			MAX,
0,		-20.00,		-2.94,		16.00,
1,		-20.00,		-7.57,		-2.00,
2,		-22.00,		-14.92,		-9.00,
3,		-25.00,		-20.36,		-17.00,
4,		-26.00,		-22.42,		-20.00,
5,		-26.00,		-24.82,		-23.00,
6,		-26.00,		-25.73,		-25.00,
7,		-26.00,		-26.00,		-26.00,
8,		-26.00,		-26.00,		-26.00,
9,		-26.00,		-26.00,		-26.00,
10,		-26.00,		-26.00,		-26.00,
11,		-26.00,		-26.00,		-26.00,
12,		-26.00,		-26.00,		-26.00,
13,		-26.00,		-26.00,		-26.00,
14,		-26.00,		-26.00,		-26.00,
15,		-26.00,		-26.00,		-26.00,
16,		-26.00,		-26.00,		-26.00,
17,		-26.00,		-26.00,		-26.00,
18,		-26.00,		-26.00,		-26.00,
19,		-26.00,		-26.00,		-26.00,
20,		-27.00,		-26.00,		-26.00,
21,		-27.00,		-26.28,		-26.00,
22,		-27.00,		-26.62,		-26.00,
23,		-27.00,		-27.00,		-27.00,
24,		-27.00,		-27.00,		-27.00,
25,		-27.00,		-27.00,		-27.00,
26,		-27.00,		-27.00,		-27.00,
27,		-27.00,		-27.00,		-27.00,
28,		-27.00,		-27.00,		-27.00,
29,		-27.00,		-27.00,		-27.00,
30,		-27.00,		-27.00,		-27.00,
31,		-27.00,		-27.00,		-27.00,
32,		-27.00,		-27.00,		-27.00,
33,		-27.00,		-27.00,		-27.00,
34,		-27.00,		-27.00,		-27.00,
35,		-27.00,		-27.00,		-27.00,
36,		-27.00,		-27.00,		-27.00,
37,		-27.00,		-27.00,		-27.00,
38,		-27.00,		-27.00,		-27.00,
39,		-27.00,		-27.00,		-27.00,
40,		-27.00,		-27.00,		-27.00,
41,		-27.00,		-27.00,		-27.00,
42,		-27.00,		-27.00,		-27.00,
43,		-27.00,		-27.00,		-27.00,
44,		-27.00,		-27.00,		-27.00,
45,		-27.00,		-27.00,		-27.00,
46,		-27.00,		-27.00,		-27.00,
47,		-27.00,		-27.00,		-27.00,
48,		-27.00,		-27.00,		-27.00,
49,		-27.00,		-27.00,		-27.00,
50,		-27.00,		-27.00,		-27.00,
51,		-27.00,		-27.00,		-27.00,
52,		-27.00,		-27.00,		-27.00,
53,		-27.00,		-27.00,		-27.00,
54,		-27.00,		-27.00,		-27.00,
55,		-27.00,		-27.00,		-27.00,
56,		-27.00,		-27.00,		-27.00,
57,		-27.00,		-27.00,		-27.00,
58,		-27.00,		-27.00,		-27.00,
59,		-27.00,		-27.00,		-27.00,
60,		-27.00,		-27.00,		-27.00,
61,		-27.00,		-27.00,		-27.00,
62,		-27.00,		-27.00,		-27.00,
63,		-27.00,		-27.00,		-27.00,
64,		-27.00,		-27.00,		-27.00,
65,		-27.00,		-27.00,		-27.00,
66,		-27.00,		-27.00,		-27.00,
67,		-27.00,		-27.00,		-27.00,
68,		-27.00,		-27.00,		-27.00,
69,		-27.00,		-27.00,		-27.00,
70,		-27.00,		-27.00,		-27.00,
71,		-27.00,		-27.00,		-27.00,
72,		-27.00,		-27.00,		-27.00,
73,		-27.00,		-27.00,		-27.00,
74,		-27.00,		-27.00,		-27.00,
75,		-27.00,		-27.00,		-27.00,
76,		-27.00,		-27.00,		-27.00,
77,		-27.00,		-27.00,		-27.00,
78,		-27.00,		-27.00,		-27.00,
79,		-27.00,		-27.00,		-27.00,
80,		-27.00,		-27.00,		-27.00,
81,		-27.00,		-27.00,		-27.00,
82,		-27.00,		-27.00,		-27.00,
83,		-27.00,		-27.00,		-27.00,
84,		-27.00,		-27.00,		-27.00,
85,		-27.00,		-27.00,		-27.00,
86,		-27.00,		-27.00,		-27.00,
87,		-27.00,		-27.00,		-27.00,
